City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chuy,UY,-33.6971,-53.4616,76.14,59,1,6.62,clear sky
79,Kavieng,PG,-2.5744,150.7967,82.87,77,33,10.16,scattered clouds
80,Mankono,CI,8.0586,-6.1897,96.51,28,82,2.24,broken clouds
81,Castro,BR,-24.7911,-50.0119,72.48,47,0,3.56,clear sky
82,Waterloo,CA,43.4668,-80.5164,14.0,73,90,21.85,light snow
83,Veraval,IN,20.9,70.3667,72.66,61,4,1.34,clear sky
84,Victoria,HK,22.2855,114.1577,69.01,82,0,4.0,clear sky
85,Lazarev,RU,52.225,141.5131,2.41,88,100,17.58,overcast clouds
86,Jalu,LY,29.0331,21.5482,78.89,17,99,13.24,overcast clouds
87,Antofagasta,CL,-23.65,-70.4,75.0,56,20,10.36,few clouds
88,Moose Factory,CA,51.2585,-80.6094,-13.0,76,90,3.44,overcast clouds
89,Chimbote,PE,-9.0853,-78.5783,76.86,60,60,6.35,broken clouds
90,Tungor,RU,53.3808,142.9564,7.99,94,100,24.72,light snow
91,Lompoc,US,34.6391,-120.4579,48.99,93,1,4.61,clear sky
92,Mar Del Plata,AR,-38.0023,-57.5575,64.99,82,90,12.66,moderate rain
93,Bridgetown,BB,13.1,-59.6167,84.2,58,40,20.71,scattered clouds
94,Tiznit,MA,29.5833,-9.5,56.61,56,23,15.19,few clouds
95,Kodiak,US,57.79,-152.4072,26.6,68,1,6.91,clear sky
96,Cape Town,ZA,-33.9258,18.4232,75.0,46,0,27.63,clear sky
97,Nikolskoye,RU,59.7035,30.7861,15.8,86,75,13.42,snow
98,Kankaanpaa,FI,61.8,22.4167,23.0,86,0,6.91,clear sky
99,Mahina,PF,-17.5065,-149.489,75.2,78,40,2.3,light rain
100,Kimberley,ZA,-28.7323,24.7623,89.6,37,40,3.44,scattered clouds
101,Denpasar,ID,-8.65,115.2167,77.0,94,40,9.22,scattered clouds
102,Gimli,CA,50.6336,-96.9907,-25.6,62,1,5.75,clear sky
103,Cidreira,BR,-30.1811,-50.2056,76.77,66,63,8.7,broken clouds
104,Nalut,LY,30.3333,10.85,76.1,20,79,29.95,broken clouds
105,Severo-Kurilsk,RU,50.6789,156.125,20.95,90,97,20.62,overcast clouds
106,Richards Bay,ZA,-28.783,32.0377,80.78,74,67,6.89,broken clouds
107,Esperance,AU,-33.8667,121.9,64.4,82,90,14.97,overcast clouds
108,Shestakovo,RU,56.4915,103.96,21.61,95,100,7.63,light snow
109,Nelson Bay,AU,-32.7167,152.15,71.01,83,75,10.36,light rain
110,Nueva Helvecia,UY,-34.3,-57.2333,84.0,45,0,5.39,clear sky
111,Coquimbo,CL,-29.9533,-71.3436,66.2,68,75,6.91,broken clouds
112,Mufumbwe,ZM,-13.6833,24.8,77.59,80,100,0.96,light rain
113,Santa Cruz,BO,-17.8,-63.1667,87.8,51,40,2.3,scattered clouds
