City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Verkhoyansk,RU,2021-02-02 23:18:18,67.5447,133.385,-38.06,79,100,3.18
68,Barrow,US,2021-02-02 23:18:18,71.2906,-156.7887,-23.8,69,1,13.8
69,Kupang,ID,2021-02-02 23:18:18,-10.1667,123.5833,75.2,100,40,4.61
70,Betanzos,ES,2021-02-02 23:18:18,43.2804,-8.2147,57.99,94,75,10.36
71,Esmeraldas,BR,2021-02-02 23:18:19,-19.7625,-44.3139,80.6,54,0,9.22
72,Jimenez,MX,2021-02-02 23:18:19,28.3333,-105.4,68.0,26,75,4.61
73,Poum,NC,2021-02-02 23:18:19,-20.2333,164.0167,77.74,80,100,24.99
74,Fukuma,JP,2021-02-02 23:18:19,33.7667,130.4667,39.2,56,75,5.75
75,Mersing,MY,2021-02-02 23:18:19,2.4312,103.8405,78.8,83,97,11.5
76,Ulcinj,ME,2021-02-02 23:18:19,41.9294,19.2244,42.8,100,30,2.3
77,Zubtsov,RU,2021-02-02 23:18:19,56.1753,34.5894,15.26,95,100,7.72
78,Port Alfred,ZA,2021-02-02 23:18:19,-33.5906,26.891,66.0,91,13,1.01
79,Matagami,CA,2021-02-02 23:18:19,49.7502,-77.6328,14.0,92,90,10.36
80,Sabzevar,IR,2021-02-02 23:18:19,36.2126,57.6819,42.35,60,0,5.12
81,Mar Del Plata,AR,2021-02-02 23:14:39,-38.0023,-57.5575,66.99,82,0,9.22
82,Saint-Philippe,RE,2021-02-02 23:18:20,-21.3585,55.7679,78.8,73,75,5.75
83,Zhaoyuan,CN,2021-02-02 23:18:20,37.3592,120.3964,26.01,66,0,9.89
84,George,ZA,2021-02-02 23:18:20,-33.963,22.4617,64.4,72,0,3.44
85,Sundargarh,IN,2021-02-02 23:18:20,22.1167,84.0333,52.57,42,0,4.0
86,Melito Di Porto Salvo,IT,2021-02-02 23:18:20,37.9222,15.7714,54.0,87,75,6.91
87,Daru,PG,2021-02-02 23:16:19,-9.0763,143.2092,80.35,83,50,14.12
88,Torbay,CA,2021-02-02 23:18:20,47.6666,-52.7314,28.99,80,90,10.36
